Tweet_ID,Created_At,Author_ID,Text
1902765049514541125,2025-03-20 16:51:54+00:00,1656461958374215680,"Dump the Clown Prince Elon and bring in people like Rand Paul and Massie to run DOGE.  Stop the egotistical nonsense related to a techno oligarch who weaseled his way in. 

God help our Republic. 

#Politics $TSLA @SenRandPaul #DOGE"
1902765046276477124,2025-03-20 16:51:53+00:00,1869023347109253126,$TSLA  Here we go &gt;&gt; https://t.co/juo8oqFwq1
1902765045659898229,2025-03-20 16:51:53+00:00,584333969,"Another 300% rise in $BTC this week!

https://t.co/7A7uNMTusa

$KNDI $KYNC $FDFT $LLBO $EMED $COIN $AMC $GME $BB $TSLA $AHT $VXIT https://t.co/zOhujAN0oJ"
1902765029084078271,2025-03-20 16:51:49+00:00,1901018170447597568,"🚨 Great Deal 🚨 
Puppia Soft Dog Harness No Choke Over-The-Head 
Now $10.59
Reg $18.90

Buy Via Amazon --&gt;https://t.co/CQipFFxIwo
#dogday #deal https://t.co/NCdnaJ8Ik0"
1902765016023024066,2025-03-20 16:51:46+00:00,1654030393,@Shallowinvestm1 @MarioNawfal Interesting thought! But do you think focusing on $TSLA's tech and growth could bring more long-term value than the politics?
1902765015444160822,2025-03-20 16:51:46+00:00,1833538961479708672,"https://t.co/PGykeRHTeJ For the doggy owners out there! 4 different products available, here's one! Multivitamin  Treats for Dogs - Glucosamine Chondroitin for Joint Support + Digestive  Enzymes &amp; Probiotics - Grain Free Dog Vitamin for Skin &amp; Coat +  Immune Health - 60ct 50%… https://t.co/WdjXWaBYO6 https://t.co/wsJs8khbIo"
1902765010641965132,2025-03-20 16:51:44+00:00,1218557486,"""Think $NVVE is just about EVs? Think again! 🧠⚡ This is an AI-driven energy optimization company, reshaping how grids function. 🔋💡 $TSLA $PLUG $AAPL $CHPT"" https://t.co/h7ohYNdbkh"
1902765004144664949,2025-03-20 16:51:43+00:00,1870165399716679680,"12 Piece Rug Grippers - ONLY $4.99 with code 50NDQL6C https://t.co/jd3E4HjGnB  
 
#ad"
1902765001355694296,2025-03-20 16:51:42+00:00,1512043951368286216,"Alerts before spikes and right as big news drops Free discord chatroom

Discord Link https://t.co/oDTL2fl58m

$SPY $NFLX $QQQ $GME $TTWO $AMAT $WMT $CBRL $TSLA $NVDA $AAPL https://t.co/zGZnXoMloy"
1902764997580820758,2025-03-20 16:51:41+00:00,1891860880712978432,"@CryptosBatman Please follow 

@VitrinDuri😘
he knows everything about the US stock market
I recently bought the stocks he recommended and I made $13.0000 in 5 days
Sounds unbelievable? Why not pay attention for a while and observe?🏈"
